date,description,amount,category
2023-12-20,Taxi,96.0,Transport
2023-12-22,Boulangerie,41.26,Alimentation
2023-12-23,Supermarche Auchan,42.9,Alimentation
2023-12-25,Osteopathe,25.56,Soins
2023-12-25,Boulangerie,132.09,Alimentation
2023-12-27,Casino,26.1,Alimentation
2023-12-28,Eau,295.26,Logement
2023-12-29,Theatre,34.27,Loisirs
2023-12-29,Massage,24.95,Soins
2023-12-29,Musee,71.43,Loisirs
2023-12-31,Courses Lidl,33.05,Alimentation
2023-12-31,Primeur,18.49,Alimentation
2024-01-02,Controle technique,25.64,Transport
2024-01-02,Spotify Premium,5.6,Streaming
2024-01-05,Marche local,39.48,Alimentation
2024-01-06,Bowling,67.92,Loisirs
2024-01-08,Taxe fonciere,78.71,Logement
2024-01-08,Concert,20.06,Loisirs
2024-01-08,Bijouterie,40.19,Shopping
2024-01-08,Formation en ligne,84.23,Education
2024-01-09,Concert,68.75,Loisirs
2024-01-09,Controle technique,89.64,Transport
2024-01-10,Librairie,200.76,Shopping
2024-01-10,Boucherie,16.33,Alimentation
2024-01-10,Livres scolaires,26.68,Education
2024-01-13,Bowling,14.11,Loisirs
2024-01-15,Medecin generaliste,26.34,Soins
2024-01-15,Materiel informatique etudes,156.92,Education
2024-01-16,Parc d'attractions,61.56,Loisirs
2024-01-18,Intermarche,18.32,Alimentation
2024-01-19,Theatre,62.86,Loisirs
2024-01-22,Parking centre-ville,23.22,Transport
2024-01-22,Sephora,71.56,Shopping
2024-01-23,Intermarche,8.47,Alimentation
2024-01-23,Loyer appartement,951.03,Logement
2024-01-29,Controle technique,23.29,Transport
2024-01-30,Courses Carrefour,18.34,Alimentation
2024-01-31,Frais de scolarite,92.43,Education
2024-02-02,Fnac,34.68,Shopping
2024-02-05,Revision voiture,118.69,Transport
2024-02-07,Intermarche,12.22,Alimentation
2024-02-08,Decathlon,41.88,Shopping
2024-02-10,Taxi,106.24,Transport
2024-02-10,Uber,36.28,Transport
2024-02-11,Bowling,43.17,Loisirs
2024-02-13,Intermarche,28.26,Alimentation
2024-02-14,Escape Game,65.65,Loisirs
2024-02-14,Decathlon,69.89,Shopping
2024-02-15,Pharmacie,26.55,Soins
2024-02-15,Sephora,106.85,Shopping
2024-02-17,Livres scolaires,110.32,Education
2024-02-17,Essence Shell,54.03,Transport
2024-02-18,Courses Carrefour,39.74,Alimentation
2024-02-18,Cinema UGC,21.36,Loisirs
2024-02-19,Parking centre-ville,81.31,Transport
2024-02-19,Peage autoroute,13.33,Transport
2024-02-20,Intermarche,69.35,Alimentation
2024-02-21,Opticien,33.53,Soins
2024-02-23,Spotify Premium,17.36,Streaming
2024-02-24,Courses Lidl,108.88,Alimentation
2024-02-24,Controle technique,8.23,Transport
2024-02-24,Essence Shell,53.43,Transport
2024-02-25,Chaussures,87.26,Shopping
2024-02-28,Deezer,12.75,Streaming
2024-02-28,Marche local,9.93,Alimentation
2024-03-01,Taxi,42.13,Transport
2024-03-01,Bowling,56.71,Loisirs
2024-03-04,Electronique,211.5,Shopping
2024-03-05,Massage,37.05,Soins
2024-03-10,Boulangerie,52.39,Alimentation
2024-03-10,Electronique,126.95,Shopping
2024-03-10,Controle technique,40.28,Transport
2024-03-12,Chaussures,19.17,Shopping
2024-03-12,Bijouterie,102.66,Shopping
2024-03-13,Boulangerie,16.36,Alimentation
2024-03-16,Concert,20.7,Loisirs
2024-03-16,Courses Lidl,9.11,Alimentation
2024-03-16,Loyer appartement,287.44,Logement
2024-03-17,YouTube Premium,11.01,Streaming
2024-03-17,Essence Shell,39.6,Transport
2024-03-17,Intermarche,23.01,Alimentation
2024-03-18,Fromagerie,146.09,Alimentation
2024-03-19,Supermarche Auchan,114.99,Alimentation
2024-03-23,Restaurant Le Gourmet,27.79,Loisirs
2024-03-24,Bowling,60.04,Loisirs
2024-03-25,Parc d'attractions,23.36,Loisirs
2024-03-26,Internet SFR,149.86,Logement
2024-03-26,YouTube Premium,5.98,Streaming
2024-03-27,Bricolage Leroy Merlin,242.73,Logement
2024-03-29,Controle technique,18.77,Transport
2024-03-29,Bar entre amis,38.56,Loisirs
2024-04-02,Boucherie,80.01,Alimentation
2024-04-02,Cinema UGC,53.03,Loisirs
2024-04-03,Cours particuliers,82.87,Education
2024-04-03,Fnac,47.18,Shopping
2024-04-03,Fournitures,55.32,Education
2024-04-04,Supermarche Auchan,41.15,Alimentation
2024-04-06,Opticien,94.61,Soins
2024-04-07,Frais de scolarite,98.17,Education
2024-04-07,Peage autoroute,21.27,Transport
2024-04-08,Courses Lidl,113.62,Alimentation
2024-04-09,Dentiste,24.23,Soins
2024-04-10,Concert,69.17,Loisirs
2024-04-12,Restaurant Le Gourmet,73.32,Loisirs
2024-04-12,Pharmacie,19.57,Soins
2024-04-14,Parking centre-ville,32.04,Transport
2024-04-14,Opticien,27.89,Soins
2024-04-14,Restaurant Le Gourmet,90.55,Loisirs
2024-04-15,Librairie,106.56,Shopping
2024-04-18,Vetements Zara,18.42,Shopping
2024-04-18,Cinema UGC,21.06,Loisirs
2024-04-20,Controle technique,17.08,Transport
2024-04-21,Bijouterie,71.83,Shopping
2024-04-23,Marche local,15.11,Alimentation
2024-04-24,Uber,21.83,Transport
2024-04-25,Bar entre amis,38.11,Loisirs
2024-04-25,Electricite EDF,44.83,Logement
2024-04-26,Casino,22.53,Alimentation
2024-04-26,Courses Carrefour,15.01,Alimentation
2024-04-26,Osteopathe,38.19,Soins
2024-04-27,Medecin generaliste,19.49,Soins
2024-04-28,Parking centre-ville,8.23,Transport
2024-04-29,Deezer,13.6,Streaming
2024-05-02,Fournitures,62.32,Education
2024-05-03,Supermarche Auchan,60.55,Alimentation
2024-05-03,Casino,12.91,Alimentation
2024-05-03,Ticket metro,23.93,Transport
2024-05-03,Sephora,279.32,Shopping
2024-05-04,Fnac,21.37,Shopping
2024-05-05,Primeur,25.86,Alimentation
2024-05-05,Boucherie,42.25,Alimentation
2024-05-06,Casino,33.54,Alimentation
2024-05-06,Marche local,48.11,Alimentation
2024-05-07,Medecin generaliste,12.58,Soins
2024-05-09,Essence Shell,102.53,Transport
2024-05-09,Restaurant Le Gourmet,25.49,Loisirs
2024-05-09,Supermarche Auchan,31.96,Alimentation
2024-05-10,Ticket metro,30.85,Transport
2024-05-11,Electricite EDF,34.24,Logement
2024-05-12,Loyer appartement,382.79,Logement
2024-05-13,Livres scolaires,135.09,Education
2024-05-13,Sephora,42.14,Shopping
2024-05-15,Pharmacie,28.12,Soins
2024-05-17,Medecin generaliste,29.33,Soins
2024-05-17,Ticket metro,22.45,Transport
2024-05-18,H&M,100.4,Shopping
2024-05-18,Bricolage Leroy Merlin,125.55,Logement
2024-05-19,Concert,21.14,Loisirs
2024-05-19,Coiffeur,32.81,Soins
2024-05-20,Decathlon,220.95,Shopping
2024-05-23,Pharmacie,16.91,Soins
2024-05-24,Supermarche Auchan,115.15,Alimentation
2024-05-25,Spotify Premium,13.02,Streaming
2024-05-26,Assurance habitation,188.33,Logement
2024-05-26,Station Total,67.23,Transport
2024-05-26,Uber,8.1,Transport
2024-05-27,Parking centre-ville,34.87,Transport
2024-05-27,Decathlon,103.13,Shopping
2024-05-29,Livres scolaires,178.9,Education
2024-05-31,Assurance habitation,173.08,Logement
2024-06-01,Bowling,72.15,Loisirs
2024-06-03,Vetements Zara,107.36,Shopping
2024-06-03,Decathlon,62.73,Shopping
2024-06-04,Concert,37.48,Loisirs
2024-06-05,Assurance habitation,200.84,Logement
2024-06-05,Bowling,67.15,Loisirs
2024-06-07,Marche local,51.51,Alimentation
2024-06-08,Taxe fonciere,918.88,Logement
2024-06-08,Essence Shell,59.78,Transport
2024-06-10,Medecin generaliste,98.63,Soins
2024-06-10,Decathlon,20.81,Shopping
2024-06-10,Restaurant Le Gourmet,40.2,Loisirs
2024-06-11,Udemy,75.05,Education
2024-06-11,Massage,10.94,Soins
2024-06-12,Chaussures,102.15,Shopping
2024-06-12,Boucherie,17.45,Alimentation
2024-06-14,Musee,47.96,Loisirs
2024-06-16,Fnac,284.0,Shopping
2024-06-17,Intermarche,30.09,Alimentation
2024-06-17,Revision voiture,26.97,Transport
2024-06-17,Theatre,29.46,Loisirs
2024-06-19,Eau,811.1,Logement
2024-06-21,Boulangerie,114.78,Alimentation
2024-06-22,Casino,52.38,Alimentation
2024-06-23,Bijouterie,105.79,Shopping
2024-06-24,Vetements Zara,80.25,Shopping
2024-06-25,Concert,126.39,Loisirs
2024-06-26,Opticien,11.16,Soins
2024-06-26,Boulangerie,36.27,Alimentation
2024-06-27,Massage,35.85,Soins
2024-06-27,Theatre,38.71,Loisirs
2024-06-28,Loyer appartement,268.36,Logement
2024-06-28,Bijouterie,93.18,Shopping
2024-06-28,Escape Game,70.28,Loisirs
2024-07-01,Marche local,15.37,Alimentation
2024-07-01,Boulangerie,12.79,Alimentation
2024-07-02,Intermarche,13.74,Alimentation
2024-07-03,Sephora,47.67,Shopping
2024-07-03,Courses Carrefour,141.21,Alimentation
2024-07-04,Primeur,28.15,Alimentation
2024-07-04,Parking centre-ville,97.05,Transport
2024-07-05,Taxe fonciere,401.23,Logement
2024-07-05,Udemy,465.85,Education
2024-07-05,Station Total,10.48,Transport
2024-07-08,Casino,47.04,Alimentation
2024-07-10,Courses Lidl,77.2,Alimentation
2024-07-13,Bijouterie,58.79,Shopping
2024-07-14,Bricolage Leroy Merlin,93.87,Logement
2024-07-15,Parking centre-ville,17.94,Transport
2024-07-17,Amazon Prime,7.75,Streaming
2024-07-18,Intermarche,12.32,Alimentation
2024-07-19,Boulangerie,71.63,Alimentation
2024-07-20,Parc d'attractions,122.0,Loisirs
2024-07-21,Dentiste,62.29,Soins
2024-07-23,Librairie,164.3,Shopping
2024-07-25,Peage autoroute,41.76,Transport
2024-07-25,Spotify Premium,9.96,Streaming
2024-07-28,H&M,39.41,Shopping
2024-07-30,Manucure,54.1,Soins
2024-07-31,Electricite EDF,351.97,Logement
2024-07-31,Bricolage Leroy Merlin,369.14,Logement
2024-08-01,Supermarche Auchan,15.85,Alimentation
2024-08-02,Decathlon,35.09,Shopping
2024-08-05,Supermarche Auchan,38.55,Alimentation
2024-08-07,Sephora,38.51,Shopping
2024-08-08,Manucure,36.96,Soins
2024-08-08,Essence Shell,6.74,Transport
2024-08-08,Electricite EDF,286.66,Logement
2024-08-10,Primeur,90.43,Alimentation
2024-08-13,Fromagerie,13.9,Alimentation
2024-08-14,Boulangerie,58.93,Alimentation
2024-08-16,Peage autoroute,26.32,Transport
2024-08-17,Restaurant Le Gourmet,51.11,Loisirs
2024-08-17,Primeur,48.99,Alimentation
2024-08-18,Parking centre-ville,80.41,Transport
2024-08-18,Livres scolaires,76.55,Education
2024-08-19,Formation en ligne,105.55,Education
2024-08-20,Manucure,91.95,Soins
2024-08-21,Internet SFR,201.44,Logement
2024-08-23,Electronique,217.43,Shopping
2024-08-24,Osteopathe,26.08,Soins
2024-08-24,Fnac,108.91,Shopping
2024-08-24,Theatre,30.89,Loisirs
2024-08-24,Intermarche,122.28,Alimentation
2024-08-24,Bijouterie,30.92,Shopping
2024-08-25,Chaussures,188.49,Shopping
2024-08-26,H&M,55.69,Shopping
2024-08-26,Pharmacie,35.47,Soins
2024-08-27,Osteopathe,22.11,Soins
2024-08-28,Taxi,10.93,Transport
2024-08-29,Internet SFR,282.0,Logement
2024-08-29,Assurance habitation,175.88,Logement
2024-08-29,Fnac,56.48,Shopping
2024-08-29,Disney+,5.66,Streaming
2024-08-31,H&M,105.88,Shopping
2024-08-31,Casino,22.58,Alimentation
2024-09-01,Amazon Prime,7.4,Streaming
2024-09-01,Casino,34.95,Alimentation
2024-09-02,Uber,31.75,Transport
2024-09-02,Parking centre-ville,12.77,Transport
2024-09-03,Parc d'attractions,33.62,Loisirs
2024-09-05,Station Total,17.12,Transport
2024-09-05,Boulangerie,43.96,Alimentation
2024-09-06,Medecin generaliste,15.0,Soins
2024-09-07,Taxe fonciere,265.07,Logement
2024-09-08,Coiffeur,33.73,Soins
2024-09-09,Fromagerie,7.52,Alimentation
2024-09-10,Intermarche,139.96,Alimentation
2024-09-12,Materiel informatique etudes,136.72,Education
2024-09-12,Essence Shell,7.41,Transport
2024-09-12,Revision voiture,55.96,Transport
2024-09-13,Boucherie,30.96,Alimentation
2024-09-13,Revision voiture,14.45,Transport
2024-09-13,Manucure,35.32,Soins
2024-09-14,Concert,67.1,Loisirs
2024-09-14,Intermarche,11.24,Alimentation
2024-09-15,Escape Game,61.0,Loisirs
2024-09-16,Supermarche Auchan,37.62,Alimentation
2024-09-17,Primeur,111.74,Alimentation
2024-09-21,Cinema UGC,68.9,Loisirs
2024-09-21,Chaussures,38.22,Shopping
2024-09-23,Boulangerie,8.45,Alimentation
2024-09-24,Bar entre amis,15.15,Loisirs
2024-09-25,Udemy,237.31,Education
2024-09-26,Intermarche,40.96,Alimentation
2024-09-27,Fournitures,292.39,Education
2024-09-28,Boucherie,79.93,Alimentation
2024-09-29,Taxi,13.08,Transport
2024-09-30,Eau,95.08,Logement
2024-10-01,Controle technique,23.44,Transport
2024-10-02,Vetements Zara,64.68,Shopping
2024-10-02,Boulangerie,35.97,Alimentation
2024-10-03,Cours particuliers,78.37,Education
2024-10-03,Sephora,171.26,Shopping
2024-10-04,Uber,44.98,Transport
2024-10-05,Taxe fonciere,42.65,Logement
2024-10-06,Boucherie,19.27,Alimentation
2024-10-07,Electricite EDF,581.08,Logement
2024-10-16,Boucherie,48.59,Alimentation
2024-10-17,Fnac,73.83,Shopping
2024-10-17,Electronique,107.23,Shopping
2024-10-18,Chaussures,56.48,Shopping
2024-10-18,Taxe fonciere,76.4,Logement
2024-10-18,Bowling,23.94,Loisirs
2024-10-21,Controle technique,25.65,Transport
2024-10-24,Courses Lidl,50.08,Alimentation
2024-10-25,Taxi,21.0,Transport
2024-10-25,Loyer appartement,404.18,Logement
2024-10-26,Uber,25.39,Transport
2024-10-27,Librairie,30.68,Shopping
2024-10-27,Boulangerie,43.81,Alimentation
2024-10-28,Taxi,41.36,Transport
2024-10-28,Chaussures,32.63,Shopping
2024-10-30,Parc d'attractions,16.91,Loisirs
2024-10-30,Boulangerie,108.92,Alimentation
2024-10-31,Boucherie,20.32,Alimentation
2024-10-31,Primeur,39.03,Alimentation
2024-11-01,Boulangerie,35.26,Alimentation
2024-11-03,Taxe fonciere,248.87,Logement
2024-11-04,Cinema UGC,17.29,Loisirs
2024-11-04,Udemy,77.51,Education
2024-11-05,Eau,341.57,Logement
2024-11-05,Taxi,117.92,Transport
2024-11-06,Bijouterie,223.7,Shopping
2024-11-07,Bowling,63.47,Loisirs
2024-11-08,Revision voiture,19.76,Transport
2024-11-09,Osteopathe,30.97,Soins
2024-11-10,Loyer appartement,709.34,Logement
2024-11-10,Taxi,33.07,Transport
2024-11-11,Taxi,7.64,Transport
2024-11-11,Chaussures,48.4,Shopping
2024-11-13,H&M,23.73,Shopping
2024-11-15,Essence Shell,35.55,Transport
2024-11-15,Concert,69.78,Loisirs
2024-11-18,Concert,45.0,Loisirs
2024-11-18,Electronique,56.98,Shopping
2024-11-19,Osteopathe,35.18,Soins
2024-11-20,Vetements Zara,102.74,Shopping
2024-11-20,Intermarche,23.88,Alimentation
2024-11-20,Parc d'attractions,22.39,Loisirs
2024-11-20,Chaussures,79.14,Shopping
2024-11-25,Casino,10.34,Alimentation
2024-11-25,Uber,32.87,Transport
2024-11-26,Taxi,27.11,Transport
2024-11-26,Loyer appartement,370.0,Logement
2024-11-28,Marche local,35.12,Alimentation
2024-11-28,Intermarche,108.96,Alimentation
2024-11-28,Marche local,88.41,Alimentation
2024-11-29,Controle technique,18.06,Transport
2024-11-30,Fromagerie,8.52,Alimentation
2024-12-02,Casino,45.94,Alimentation
2024-12-02,Boucherie,40.79,Alimentation
2024-12-02,Boulangerie,6.34,Alimentation
2024-12-04,Parc d'attractions,71.94,Loisirs
2024-12-04,Musee,31.74,Loisirs
2024-12-04,Amazon Prime,16.99,Streaming
2024-12-04,Escape Game,57.96,Loisirs
2024-12-04,H&M,73.53,Shopping
2024-12-07,Escape Game,152.98,Loisirs
2024-12-08,Loyer appartement,66.46,Logement
2024-12-09,Concert,65.28,Loisirs
2024-12-10,Dentiste,22.04,Soins
2024-12-12,H&M,54.73,Shopping
2024-12-12,Station Total,24.2,Transport
2024-12-13,Assurance habitation,174.76,Logement
2024-12-13,Musee,38.12,Loisirs
2024-12-15,Fromagerie,13.39,Alimentation
2024-12-16,Pharmacie,87.21,Soins
2024-12-17,Intermarche,50.53,Alimentation
2024-12-17,Sephora,266.51,Shopping
2024-12-18,Assurance habitation,307.61,Logement
2024-12-18,Boulangerie,19.63,Alimentation
2024-12-18,Fnac,79.39,Shopping
2024-12-19,Coiffeur,10.45,Soins
2024-12-19,Controle technique,9.75,Transport
2024-12-19,Primeur,131.86,Alimentation
2024-12-19,Courses Lidl,22.94,Alimentation
2024-12-20,Sephora,17.85,Shopping
2024-12-20,Electricite EDF,667.45,Logement
2024-12-20,Marche local,146.46,Alimentation
2024-12-21,Apple Music,5.22,Streaming
2024-12-22,Supermarche Auchan,18.91,Alimentation
2024-12-22,Musee,19.76,Loisirs
2024-12-22,Bowling,77.37,Loisirs
2024-12-22,Casino,64.57,Alimentation
2024-12-23,Fnac,42.64,Shopping
2024-12-24,Primeur,18.68,Alimentation
2024-12-25,Electronique,197.68,Shopping
2024-12-25,YouTube Premium,5.56,Streaming
2024-12-25,Musee,89.49,Loisirs
2024-12-26,Intermarche,47.8,Alimentation
2024-12-26,Uber,7.88,Transport
2024-12-26,Parking centre-ville,8.83,Transport
2024-12-28,Boulangerie,9.6,Alimentation
2024-12-28,Decathlon,53.86,Shopping
2024-12-29,Boucherie,12.18,Alimentation
2024-12-29,Assurance habitation,107.05,Logement
2024-12-29,Electricite EDF,228.66,Logement
2024-12-30,Musee,21.34,Loisirs
2024-12-31,Decathlon,89.89,Shopping
2024-12-31,Amazon Prime,9.17,Streaming
2025-01-01,Charges copropriete,213.5,Logement
2025-01-02,Librairie,20.55,Shopping
2025-01-02,Marche local,15.28,Alimentation
2025-01-03,Supermarche Auchan,41.0,Alimentation
2025-01-03,Abonnement Netflix,7.17,Streaming
2025-01-03,Boucherie,46.6,Alimentation
2025-01-03,Courses Lidl,6.25,Alimentation
2025-01-03,Boucherie,16.43,Alimentation
2025-01-04,Dentiste,40.06,Soins
2025-01-04,Fnac,49.33,Shopping
2025-01-05,Controle technique,47.85,Transport
2025-01-05,Essence Shell,22.48,Transport
2025-01-08,Electronique,34.3,Shopping
2025-01-08,Cinema UGC,123.55,Loisirs
2025-01-08,Courses Carrefour,76.15,Alimentation
2025-01-08,H&M,120.83,Shopping
2025-01-08,Vetements Zara,21.6,Shopping
2025-01-08,Manucure,10.08,Soins
2025-01-09,Manucure,19.21,Soins
2025-01-09,Marche local,28.92,Alimentation
2025-01-10,Decathlon,107.04,Shopping
2025-01-10,Courses Lidl,17.08,Alimentation
2025-01-10,Parking centre-ville,35.14,Transport
2025-01-12,Decathlon,36.43,Shopping
2025-01-12,Chaussures,91.64,Shopping
2025-01-13,Chaussures,58.33,Shopping
2025-01-13,Cours particuliers,168.26,Education
2025-01-13,Theatre,73.89,Loisirs
2025-01-13,Electricite EDF,144.89,Logement
2025-01-14,Peage autoroute,109.89,Transport
2025-01-14,Boulangerie,64.25,Alimentation
2025-01-14,Peage autoroute,39.8,Transport
2025-01-15,Manucure,25.68,Soins
2025-01-15,Marche local,45.47,Alimentation
2025-01-16,Boucherie,12.73,Alimentation
2025-01-16,Peage autoroute,108.25,Transport
2025-01-17,Intermarche,50.1,Alimentation
2025-01-17,Marche local,148.0,Alimentation
2025-01-17,Vetements Zara,66.01,Shopping
2025-01-18,Taxe fonciere,119.15,Logement
2025-01-19,Courses Lidl,5.58,Alimentation
2025-01-19,Boucherie,31.48,Alimentation
2025-01-19,Chaussures,66.6,Shopping
2025-01-21,Assurance habitation,958.16,Logement
2025-01-22,Decathlon,76.36,Shopping
2025-01-22,Ticket metro,14.5,Transport
2025-01-22,Primeur,129.3,Alimentation
2025-01-23,Musee,134.67,Loisirs
2025-01-23,Restaurant Le Gourmet,117.36,Loisirs
2025-01-23,Eau,1069.09,Logement
2025-01-24,Electronique,78.94,Shopping
2025-01-26,Restaurant Le Gourmet,45.93,Loisirs
2025-01-26,Intermarche,36.71,Alimentation
2025-01-27,Electronique,107.98,Shopping
2025-01-27,Primeur,46.59,Alimentation
2025-01-28,Amazon Prime,8.49,Streaming
2025-01-29,Fromagerie,84.49,Alimentation
2025-01-30,Decathlon,47.44,Shopping
2025-01-30,Uber,7.69,Transport
2025-01-30,Musee,53.93,Loisirs
2025-01-30,Taxi,67.88,Transport
2025-01-31,Bar entre amis,193.47,Loisirs
2025-01-31,Fnac,88.29,Shopping
2025-02-01,Bricolage Leroy Merlin,319.94,Logement
2025-02-02,Bijouterie,98.68,Shopping
2025-02-02,Boulangerie,60.02,Alimentation
2025-02-03,Essence Shell,35.85,Transport
2025-02-04,Supermarche Auchan,34.45,Alimentation
2025-02-04,Boucherie,24.55,Alimentation
2025-02-05,Bijouterie,44.41,Shopping
2025-02-05,Dentiste,34.61,Soins
2025-02-06,Electronique,101.32,Shopping
2025-02-08,Essence Shell,41.46,Transport
2025-02-08,Escape Game,55.99,Loisirs
2025-02-09,Formation en ligne,385.92,Education
2025-02-09,Boulangerie,11.24,Alimentation
2025-02-10,Courses Carrefour,7.49,Alimentation
2025-02-10,Internet SFR,339.7,Logement
2025-02-12,Bijouterie,89.8,Shopping
2025-02-13,Fromagerie,68.88,Alimentation
2025-02-13,Taxi,7.06,Transport
2025-02-13,Bowling,11.1,Loisirs
2025-02-13,Controle technique,10.78,Transport
2025-02-14,Escape Game,35.17,Loisirs
2025-02-16,Vetements Zara,39.55,Shopping
2025-02-16,Essence Shell,18.78,Transport
2025-02-16,Bar entre amis,18.67,Loisirs
2025-02-18,Supermarche Auchan,51.92,Alimentation
2025-02-18,Supermarche Auchan,42.37,Alimentation
2025-02-19,Primeur,46.94,Alimentation
2025-02-19,Casino,24.27,Alimentation
2025-02-20,Livres scolaires,134.35,Education
2025-02-20,Uber,29.34,Transport
2025-02-20,Eau,369.37,Logement
2025-02-20,Librairie,71.34,Shopping
2025-02-21,Marche local,129.33,Alimentation
2025-02-21,Marche local,139.16,Alimentation
2025-02-24,Escape Game,13.86,Loisirs
2025-02-25,Disney+,5.04,Streaming
2025-02-26,Coiffeur,19.93,Soins
2025-02-27,Eau,404.38,Logement
