date,description,amount,category
2025-02-28,Boucherie,34.04,Alimentation
2025-02-28,Internet SFR,232.14,Logement
2025-03-01,Bricolage Leroy Merlin,259.75,Logement
2025-03-01,Marche local,6.63,Alimentation
2025-03-01,Vetements Zara,56.84,Shopping
2025-03-03,Electronique,103.11,Shopping
2025-03-03,Intermarche,40.42,Alimentation
2025-03-04,Fromagerie,92.7,Alimentation
2025-03-04,Charges copropriete,107.29,Logement
2025-03-05,Manucure,28.32,Soins
2025-03-06,Station Total,21.9,Transport
2025-03-06,Bijouterie,241.91,Shopping
2025-03-07,Pharmacie,31.89,Soins
2025-03-07,Intermarche,16.08,Alimentation
2025-03-07,Decathlon,97.56,Shopping
2025-03-07,Intermarche,28.31,Alimentation
2025-03-08,Boucherie,13.34,Alimentation
2025-03-08,Charges copropriete,226.57,Logement
2025-03-08,Charges copropriete,342.55,Logement
2025-03-08,Vetements Zara,106.17,Shopping
2025-03-09,Marche local,6.38,Alimentation
2025-03-11,Bijouterie,118.86,Shopping
2025-03-11,Escape Game,105.87,Loisirs
2025-03-11,Sephora,16.85,Shopping
2025-03-11,Essence Shell,10.2,Transport
2025-03-11,Bowling,102.78,Loisirs
2025-03-12,Uber,31.75,Transport
2025-03-12,Bijouterie,18.58,Shopping
2025-03-16,Ticket metro,12.96,Transport
2025-03-17,Marche local,64.85,Alimentation
2025-03-17,Formation en ligne,145.35,Education
2025-03-17,Disney+,7.58,Streaming
2025-03-19,Marche local,37.45,Alimentation
2025-03-19,Controle technique,35.9,Transport
2025-03-19,Concert,59.59,Loisirs
2025-03-20,Frais de scolarite,52.37,Education
2025-03-21,Courses Carrefour,64.74,Alimentation
2025-03-22,Theatre,28.79,Loisirs
2025-03-22,Massage,85.92,Soins
2025-03-22,Essence Shell,34.69,Transport
2025-03-22,Livres scolaires,106.7,Education
2025-03-22,Electricite EDF,126.45,Logement
2025-03-23,Electronique,99.51,Shopping
2025-03-23,Peage autoroute,116.34,Transport
2025-03-23,Coiffeur,14.92,Soins
2025-03-24,Bar entre amis,178.94,Loisirs
2025-03-24,Musee,56.82,Loisirs
2025-03-24,Dentiste,10.88,Soins
2025-03-24,Theatre,73.0,Loisirs
2025-03-25,Revision voiture,34.96,Transport
2025-03-25,Eau,305.66,Logement
2025-03-25,Librairie,84.38,Shopping
2025-03-25,Loyer appartement,254.36,Logement
2025-03-25,Dentiste,23.22,Soins
2025-03-25,Chaussures,103.57,Shopping
2025-03-25,Courses Lidl,31.28,Alimentation
2025-03-26,Boulangerie,18.68,Alimentation
2025-03-27,Fromagerie,28.48,Alimentation
2025-03-28,Bricolage Leroy Merlin,334.08,Logement
2025-03-29,Pharmacie,16.96,Soins
2025-03-29,Casino,29.64,Alimentation
2025-03-30,Station Total,41.52,Transport
2025-03-30,Coiffeur,35.73,Soins
2025-03-31,Restaurant Le Gourmet,11.38,Loisirs
2025-03-31,Escape Game,19.95,Loisirs
2025-03-31,Musee,25.84,Loisirs
2025-03-31,Courses Lidl,7.11,Alimentation
2025-03-31,Bricolage Leroy Merlin,147.97,Logement
2025-04-01,Peage autoroute,21.63,Transport
2025-04-01,Essence Shell,99.11,Transport
2025-04-02,Primeur,40.43,Alimentation
2025-04-04,Supermarche Auchan,132.46,Alimentation
2025-04-05,Casino,41.03,Alimentation
2025-04-06,OCS,19.76,Streaming
2025-04-06,Dentiste,21.66,Soins
2025-04-06,Eau,48.98,Logement
2025-04-06,Restaurant Le Gourmet,24.02,Loisirs
2025-04-08,Massage,20.25,Soins
2025-04-08,Supermarche Auchan,118.95,Alimentation
2025-04-09,Peage autoroute,109.74,Transport
2025-04-10,Intermarche,10.19,Alimentation
2025-04-11,Chaussures,69.69,Shopping
2025-04-11,Bowling,52.83,Loisirs
2025-04-11,Peage autoroute,21.48,Transport
2025-04-12,Librairie,53.13,Shopping
2025-04-13,Apple Music,5.49,Streaming
2025-04-13,Bowling,45.77,Loisirs
2025-04-14,Eau,200.06,Logement
2025-04-15,Concert,29.56,Loisirs
2025-04-16,Pharmacie,48.78,Soins
2025-04-16,Disney+,8.24,Streaming
2025-04-16,Disney+,6.21,Streaming
2025-04-16,Cinema UGC,22.59,Loisirs
2025-04-17,Librairie,84.24,Shopping
2025-04-17,Revision voiture,12.83,Transport
2025-04-17,Supermarche Auchan,18.55,Alimentation
2025-04-17,Fnac,85.25,Shopping
2025-04-18,Disney+,7.76,Streaming
2025-04-19,Restaurant Le Gourmet,30.73,Loisirs
2025-04-19,Coiffeur,28.89,Soins
2025-04-20,Marche local,8.8,Alimentation
2025-04-20,Osteopathe,70.6,Soins
2025-04-21,Peage autoroute,37.93,Transport
2025-04-21,Concert,30.57,Loisirs
2025-04-21,Cinema UGC,24.86,Loisirs
2025-04-22,Taxe fonciere,888.22,Logement
2025-04-23,Marche local,91.33,Alimentation
2025-04-23,Librairie,49.42,Shopping
2025-04-24,Materiel informatique etudes,338.46,Education
2025-04-24,Revision voiture,31.83,Transport
2025-04-24,Theatre,57.1,Loisirs
2025-04-24,Charges copropriete,387.24,Logement
2025-04-24,Osteopathe,20.85,Soins
2025-04-25,Revision voiture,22.29,Transport
2025-04-25,Parking centre-ville,7.48,Transport
2025-04-25,Bowling,123.07,Loisirs
2025-04-26,Controle technique,18.92,Transport
2025-04-26,Electronique,67.09,Shopping
2025-04-27,Escape Game,71.82,Loisirs
2025-04-28,Parking centre-ville,15.68,Transport
2025-04-29,Electronique,80.2,Shopping
2025-04-29,Bowling,97.75,Loisirs
2025-04-29,Chaussures,71.86,Shopping
2025-04-29,Ticket metro,25.23,Transport
2025-04-29,Parc d'attractions,134.23,Loisirs
2025-04-29,Medecin generaliste,38.06,Soins
2025-04-30,Amazon Prime,8.93,Streaming
2025-05-01,Essence Shell,33.47,Transport
2025-05-01,Electricite EDF,1065.14,Logement
2025-05-02,Primeur,76.53,Alimentation
2025-05-03,YouTube Premium,13.9,Streaming
2025-05-03,Formation en ligne,321.1,Education
2025-05-03,Chaussures,90.15,Shopping
2025-05-03,Controle technique,40.33,Transport
2025-05-04,Medecin generaliste,64.56,Soins
2025-05-05,Courses Lidl,46.75,Alimentation
2025-05-05,Taxi,68.89,Transport
2025-05-05,Medecin generaliste,62.72,Soins
2025-05-06,Parking centre-ville,9.59,Transport
2025-05-06,Bijouterie,121.17,Shopping
2025-05-06,Electricite EDF,127.75,Logement
2025-05-07,Disney+,7.98,Streaming
2025-05-07,Taxi,20.91,Transport
2025-05-07,Fromagerie,137.73,Alimentation
2025-05-08,Primeur,21.07,Alimentation
2025-05-08,Bijouterie,105.48,Shopping
2025-05-08,Restaurant Le Gourmet,157.96,Loisirs
2025-05-09,Restaurant Le Gourmet,26.65,Loisirs
2025-05-10,H&M,35.19,Shopping
2025-05-10,Courses Carrefour,58.24,Alimentation
2025-05-11,Vetements Zara,150.59,Shopping
2025-05-12,Uber,35.9,Transport
2025-05-12,Theatre,15.73,Loisirs
2025-05-12,Bricolage Leroy Merlin,289.01,Logement
2025-05-12,Bowling,41.0,Loisirs
2025-05-13,Eau,72.07,Logement
2025-05-13,Electronique,24.87,Shopping
2025-05-14,Boucherie,34.15,Alimentation
2025-05-14,Supermarche Auchan,67.02,Alimentation
2025-05-14,Boulangerie,34.03,Alimentation
2025-05-15,Musee,116.46,Loisirs
2025-05-16,Escape Game,54.35,Loisirs
2025-05-17,Fnac,97.72,Shopping
2025-05-18,Intermarche,29.89,Alimentation
2025-05-18,Opticien,49.12,Soins
2025-05-19,Bijouterie,78.37,Shopping
2025-05-19,Assurance habitation,246.57,Logement
2025-05-19,Abonnement Netflix,5.39,Streaming
2025-05-19,Ticket metro,29.47,Transport
2025-05-19,Opticien,10.86,Soins
2025-05-20,Theatre,155.85,Loisirs
2025-05-20,Courses Lidl,17.3,Alimentation
2025-05-20,Medecin generaliste,13.29,Soins
2025-05-21,Formation en ligne,27.22,Education
2025-05-23,Concert,58.05,Loisirs
2025-05-23,Charges copropriete,380.02,Logement
2025-05-24,Taxe fonciere,585.34,Logement
2025-05-24,Uber,24.94,Transport
2025-05-24,Essence Shell,18.79,Transport
2025-05-25,Boucherie,32.82,Alimentation
2025-05-26,Bar entre amis,104.01,Loisirs
2025-05-26,Ticket metro,13.32,Transport
2025-05-27,Taxi,28.3,Transport
2025-05-27,Concert,17.08,Loisirs
2025-05-28,Intermarche,111.73,Alimentation
2025-05-29,Casino,17.24,Alimentation
2025-05-29,Parc d'attractions,24.49,Loisirs
2025-05-29,Udemy,58.89,Education
2025-05-31,Intermarche,30.84,Alimentation
2025-05-31,Uber,102.2,Transport
2025-05-31,Coiffeur,13.18,Soins
2025-05-31,Ticket metro,21.42,Transport
2025-06-01,Essence Shell,30.49,Transport
2025-06-03,Osteopathe,25.64,Soins
2025-06-04,Station Total,6.5,Transport
2025-06-04,Abonnement Netflix,19.37,Streaming
2025-06-04,Vetements Zara,29.44,Shopping
2025-06-04,Taxi,26.36,Transport
2025-06-05,Vetements Zara,24.85,Shopping
2025-06-05,Boucherie,34.63,Alimentation
2025-06-06,Primeur,86.41,Alimentation
2025-06-07,Bowling,55.77,Loisirs
2025-06-08,Casino,6.14,Alimentation
2025-06-08,Osteopathe,24.78,Soins
2025-06-08,Chaussures,43.48,Shopping
2025-06-09,Electricite EDF,315.29,Logement
2025-06-09,Primeur,34.95,Alimentation
2025-06-09,Station Total,78.48,Transport
2025-06-10,Marche local,111.59,Alimentation
2025-06-10,Formation en ligne,152.84,Education
2025-06-11,Courses Carrefour,12.34,Alimentation
2025-06-11,Casino,51.16,Alimentation
2025-06-11,Primeur,34.85,Alimentation
2025-06-11,Courses Carrefour,13.99,Alimentation
2025-06-12,Uber,117.07,Transport
2025-06-13,Formation en ligne,55.88,Education
2025-06-13,Osteopathe,62.49,Soins
2025-06-14,Peage autoroute,29.95,Transport
2025-06-16,Massage,37.55,Soins
2025-06-17,Courses Carrefour,23.6,Alimentation
2025-06-17,Librairie,72.07,Shopping
2025-06-18,Parking centre-ville,7.43,Transport
2025-06-19,Escape Game,42.49,Loisirs
2025-06-19,Courses Carrefour,13.15,Alimentation
2025-06-19,Courses Lidl,127.94,Alimentation
2025-06-20,Courses Carrefour,48.71,Alimentation
2025-06-20,Intermarche,7.54,Alimentation
2025-06-20,Marche local,35.22,Alimentation
2025-06-21,Courses Lidl,67.59,Alimentation
2025-06-24,Ticket metro,36.9,Transport
2025-06-24,Boucherie,23.45,Alimentation
2025-06-26,Amazon Prime,5.77,Streaming
2025-06-26,Peage autoroute,42.76,Transport
2025-06-27,Courses Lidl,110.81,Alimentation
2025-06-27,Charges copropriete,339.54,Logement
2025-06-27,Peage autoroute,44.79,Transport
2025-06-28,Parking centre-ville,38.36,Transport
2025-06-29,Assurance habitation,272.22,Logement
2025-06-29,Courses Carrefour,16.14,Alimentation
2025-06-29,Assurance habitation,120.29,Logement
2025-06-29,Osteopathe,29.64,Soins
2025-06-30,Electricite EDF,350.81,Logement
2025-06-30,Fournitures,107.17,Education
2025-07-01,Dentiste,23.02,Soins
2025-07-01,Supermarche Auchan,125.4,Alimentation
2025-07-02,Fnac,114.75,Shopping
2025-07-03,Restaurant Le Gourmet,77.18,Loisirs
2025-07-03,Casino,26.26,Alimentation
2025-07-03,Fromagerie,47.74,Alimentation
2025-07-04,Bowling,13.28,Loisirs
2025-07-04,Primeur,45.4,Alimentation
2025-07-04,Supermarche Auchan,99.64,Alimentation
2025-07-05,Librairie,79.43,Shopping
2025-07-06,Librairie,232.93,Shopping
2025-07-06,Sephora,19.83,Shopping
2025-07-09,Parking centre-ville,100.06,Transport
2025-07-09,Courses Carrefour,10.55,Alimentation
2025-07-10,Boulangerie,46.14,Alimentation
2025-07-10,Essence Shell,10.44,Transport
2025-07-10,Bricolage Leroy Merlin,252.02,Logement
2025-07-11,Peage autoroute,15.53,Transport
2025-07-11,Bijouterie,136.73,Shopping
2025-07-12,Librairie,32.14,Shopping
2025-07-12,Fromagerie,21.48,Alimentation
2025-07-12,Parc d'attractions,27.49,Loisirs
2025-07-12,Librairie,62.27,Shopping
2025-07-13,Eau,393.01,Logement
2025-07-13,Bijouterie,74.8,Shopping
2025-07-14,Station Total,31.12,Transport
2025-07-15,Cinema UGC,36.24,Loisirs
2025-07-15,Revision voiture,15.68,Transport
2025-07-16,Dentiste,20.45,Soins
2025-07-17,Eau,129.94,Logement
2025-07-17,Casino,40.02,Alimentation
2025-07-18,Concert,16.02,Loisirs
2025-07-18,Frais de scolarite,316.58,Education
2025-07-18,Escape Game,73.31,Loisirs
2025-07-19,Theatre,79.51,Loisirs
2025-07-20,Electricite EDF,735.53,Logement
2025-07-20,Escape Game,135.97,Loisirs
2025-07-20,Coiffeur,57.59,Soins
2025-07-21,Massage,20.19,Soins
2025-07-22,Restaurant Le Gourmet,146.86,Loisirs
2025-07-22,Restaurant Le Gourmet,192.79,Loisirs
2025-07-23,Parc d'attractions,140.42,Loisirs
2025-07-23,Cinema UGC,25.85,Loisirs
2025-07-23,Librairie,26.74,Shopping
2025-07-25,H&M,88.37,Shopping
2025-07-25,Peage autoroute,28.04,Transport
2025-07-25,Abonnement Netflix,8.8,Streaming
2025-07-26,YouTube Premium,5.69,Streaming
2025-07-27,Massage,68.21,Soins
2025-07-27,Peage autoroute,34.16,Transport
2025-07-27,Taxi,14.79,Transport
2025-07-27,Electricite EDF,203.88,Logement
2025-07-28,Fnac,105.3,Shopping
2025-07-29,Taxe fonciere,323.03,Logement
2025-07-30,Bricolage Leroy Merlin,283.85,Logement
2025-07-30,Restaurant Le Gourmet,27.69,Loisirs
2025-07-30,Opticien,26.97,Soins
2025-07-31,Pharmacie,10.98,Soins
2025-07-31,Formation en ligne,35.29,Education
2025-07-31,Concert,65.28,Loisirs
2025-08-01,Electronique,105.81,Shopping
2025-08-01,Essence Shell,85.76,Transport
2025-08-01,Medecin generaliste,38.26,Soins
2025-08-02,Pharmacie,31.08,Soins
2025-08-02,Intermarche,15.39,Alimentation
2025-08-02,Opticien,17.86,Soins
2025-08-02,Disney+,6.15,Streaming
2025-08-03,Librairie,73.18,Shopping
2025-08-03,Revision voiture,28.05,Transport
2025-08-04,Taxi,9.73,Transport
2025-08-04,Boulangerie,90.79,Alimentation
2025-08-04,Primeur,7.59,Alimentation
2025-08-04,Theatre,56.95,Loisirs
2025-08-04,Fnac,60.61,Shopping
2025-08-05,Marche local,86.9,Alimentation
2025-08-05,Bowling,51.13,Loisirs
2025-08-05,Uber,20.75,Transport
2025-08-05,Supermarche Auchan,29.37,Alimentation
2025-08-05,Intermarche,80.5,Alimentation
2025-08-06,Courses Lidl,37.18,Alimentation
2025-08-06,Boulangerie,11.76,Alimentation
2025-08-07,Formation en ligne,27.38,Education
2025-08-07,Electricite EDF,1194.57,Logement
2025-08-07,Bijouterie,140.92,Shopping
2025-08-08,Courses Carrefour,27.02,Alimentation
2025-08-08,Casino,148.74,Alimentation
2025-08-08,Internet SFR,964.47,Logement
2025-08-09,Revision voiture,19.66,Transport
2025-08-10,Librairie,69.67,Shopping
2025-08-10,Courses Lidl,79.42,Alimentation
2025-08-10,Primeur,43.81,Alimentation
2025-08-10,Fromagerie,29.63,Alimentation
2025-08-10,Casino,36.02,Alimentation
2025-08-11,Bar entre amis,48.65,Loisirs
2025-08-12,Essence Shell,16.31,Transport
2025-08-14,Peage autoroute,7.73,Transport
2025-08-14,Cours particuliers,161.02,Education
2025-08-16,Sephora,122.36,Shopping
2025-08-17,Uber,32.02,Transport
2025-08-19,Internet SFR,407.36,Logement
2025-08-20,Courses Carrefour,16.73,Alimentation
2025-08-20,Taxi,63.21,Transport
2025-08-21,H&M,77.53,Shopping
2025-08-22,Fromagerie,30.71,Alimentation
2025-08-23,Peage autoroute,25.16,Transport
2025-08-24,Sephora,155.64,Shopping
2025-08-24,Fromagerie,17.34,Alimentation
2025-08-25,Courses Lidl,14.62,Alimentation
2025-08-25,Controle technique,8.08,Transport
2025-08-25,Vetements Zara,96.8,Shopping
2025-08-25,Controle technique,8.53,Transport
2025-08-25,Parking centre-ville,39.74,Transport
2025-08-27,Loyer appartement,68.44,Logement
2025-08-27,Decathlon,194.27,Shopping
2025-08-28,Taxi,21.49,Transport
2025-08-29,Primeur,9.51,Alimentation
2025-08-29,Dentiste,84.61,Soins
2025-08-29,Apple Music,5.47,Streaming
2025-08-31,Intermarche,25.39,Alimentation
2025-08-31,Restaurant Le Gourmet,38.43,Loisirs
2025-08-31,Casino,15.72,Alimentation
2025-08-31,Librairie,123.03,Shopping
2025-09-01,Fromagerie,26.75,Alimentation
2025-09-01,Casino,7.61,Alimentation
2025-09-02,Essence Shell,46.59,Transport
2025-09-02,Peage autoroute,33.87,Transport
2025-09-02,Cinema UGC,32.79,Loisirs
2025-09-02,Theatre,36.99,Loisirs
2025-09-02,Bijouterie,282.2,Shopping
2025-09-04,Courses Carrefour,116.81,Alimentation
2025-09-04,Internet SFR,1027.26,Logement
2025-09-04,Taxe fonciere,275.1,Logement
2025-09-06,Essence Shell,21.86,Transport
2025-09-06,Controle technique,24.23,Transport
2025-09-06,Bijouterie,108.66,Shopping
2025-09-07,Fromagerie,12.99,Alimentation
2025-09-07,Bricolage Leroy Merlin,1057.94,Logement
2025-09-07,H&M,26.83,Shopping
2025-09-08,Theatre,26.69,Loisirs
2025-09-08,Eau,560.54,Logement
2025-09-09,Controle technique,42.76,Transport
2025-09-09,Revision voiture,66.57,Transport
2025-09-10,Taxi,18.76,Transport
2025-09-10,Cinema UGC,62.06,Loisirs
2025-09-10,Casino,12.56,Alimentation
2025-09-10,Opticien,34.32,Soins
2025-09-11,Escape Game,24.42,Loisirs
2025-09-13,Concert,195.34,Loisirs
2025-09-14,Revision voiture,40.03,Transport
2025-09-14,Restaurant Le Gourmet,25.52,Loisirs
2025-09-15,Essence Shell,84.75,Transport
2025-09-16,Dentiste,35.15,Soins
2025-09-16,Electronique,64.06,Shopping
2025-09-17,Courses Carrefour,104.33,Alimentation
2025-09-17,Intermarche,7.84,Alimentation
2025-09-20,Spotify Premium,6.75,Streaming
2025-09-20,Cinema UGC,77.93,Loisirs
2025-09-20,Boulangerie,43.1,Alimentation
2025-09-20,Taxe fonciere,608.3,Logement
2025-09-21,Bar entre amis,10.12,Loisirs
2025-09-21,Opticien,27.19,Soins
2025-09-21,Sephora,80.1,Shopping
2025-09-21,Eau,77.85,Logement
2025-09-21,Restaurant Le Gourmet,34.82,Loisirs
2025-09-21,Sephora,84.16,Shopping
2025-09-21,Decathlon,107.25,Shopping
2025-09-21,Dentiste,11.67,Soins
2025-09-21,Taxe fonciere,69.07,Logement
2025-09-21,Fnac,252.3,Shopping
2025-09-22,Fromagerie,20.79,Alimentation
2025-09-22,Courses Lidl,35.55,Alimentation
2025-09-22,Essence Shell,28.99,Transport
2025-09-22,Abonnement Netflix,8.83,Streaming
2025-09-22,Supermarche Auchan,5.25,Alimentation
2025-09-22,Cours particuliers,97.73,Education
2025-09-23,Ticket metro,12.26,Transport
2025-09-23,Chaussures,283.23,Shopping
2025-09-23,Cinema UGC,139.55,Loisirs
2025-09-23,Casino,58.19,Alimentation
2025-09-24,Taxi,38.71,Transport
2025-09-24,Librairie,39.44,Shopping
2025-09-24,H&M,219.64,Shopping
2025-09-24,Charges copropriete,114.29,Logement
2025-09-24,Pharmacie,16.67,Soins
2025-09-25,Controle technique,26.03,Transport
2025-09-25,Parc d'attractions,16.76,Loisirs
2025-09-25,Livres scolaires,66.76,Education
2025-09-25,YouTube Premium,11.68,Streaming
2025-09-26,Uber,103.75,Transport
2025-09-26,Supermarche Auchan,28.09,Alimentation
2025-09-26,Uber,39.34,Transport
2025-09-26,YouTube Premium,11.1,Streaming
2025-09-26,Taxe fonciere,265.47,Logement
2025-09-26,Loyer appartement,172.29,Logement
2025-09-27,Fromagerie,30.82,Alimentation
2025-09-27,Frais de scolarite,158.41,Education
2025-09-27,Peage autoroute,35.03,Transport
2025-09-28,Station Total,33.2,Transport
2025-09-28,Bricolage Leroy Merlin,512.24,Logement
2025-09-28,Medecin generaliste,12.12,Soins
2025-09-28,Controle technique,115.74,Transport
2025-09-29,Massage,20.59,Soins
2025-09-29,Frais de scolarite,72.9,Education
2025-09-29,Bar entre amis,23.53,Loisirs
2025-09-29,Parking centre-ville,17.79,Transport
2025-09-30,Massage,63.27,Soins
2025-09-30,Manucure,37.53,Soins
2025-09-30,Intermarche,73.17,Alimentation
2025-09-30,Musee,35.35,Loisirs
2025-09-30,Chaussures,164.74,Shopping
2025-09-30,Musee,21.09,Loisirs
2025-09-30,Primeur,51.89,Alimentation
2025-10-01,Amazon Prime,8.75,Streaming
2025-10-01,Marche local,13.05,Alimentation
2025-10-01,Sephora,52.46,Shopping
2025-10-01,Marche local,51.33,Alimentation
2025-10-02,Musee,79.58,Loisirs
2025-10-02,Charges copropriete,958.23,Logement
2025-10-02,Loyer appartement,163.53,Logement
2025-10-02,Materiel informatique etudes,166.75,Education
2025-10-02,Medecin generaliste,20.17,Soins
2025-10-02,Parc d'attractions,167.12,Loisirs
2025-10-02,Boulangerie,40.07,Alimentation
2025-10-02,Boucherie,54.72,Alimentation
2025-10-03,Boucherie,31.14,Alimentation
2025-10-03,Peage autoroute,36.14,Transport
2025-10-03,Charges copropriete,1143.09,Logement
2025-10-03,Chaussures,90.72,Shopping
2025-10-03,Courses Lidl,14.4,Alimentation
2025-10-04,Electronique,16.57,Shopping
2025-10-04,Dentiste,36.82,Soins
2025-10-04,Coiffeur,36.01,Soins
2025-10-04,Uber,33.83,Transport
2025-10-04,Boulangerie,5.28,Alimentation
2025-10-04,Revision voiture,14.21,Transport
2025-10-04,Station Total,31.88,Transport
2025-10-04,Decathlon,45.57,Shopping
2025-10-04,Cinema UGC,193.18,Loisirs
2025-10-04,Courses Carrefour,34.38,Alimentation
2025-10-04,Bricolage Leroy Merlin,833.28,Logement
2025-10-05,Boucherie,16.79,Alimentation
2025-10-05,Revision voiture,67.38,Transport
2025-10-05,Musee,73.15,Loisirs
2025-10-05,Boulangerie,47.31,Alimentation
2025-10-05,Supermarche Auchan,88.6,Alimentation
2025-10-05,Massage,53.95,Soins
2025-10-05,Fromagerie,25.06,Alimentation
2025-10-06,Uber,30.54,Transport
2025-10-06,Dentiste,19.65,Soins
2025-10-06,Casino,38.38,Alimentation
2025-10-06,Peage autoroute,50.21,Transport
2025-10-06,Restaurant Le Gourmet,92.73,Loisirs
2025-10-06,Electronique,49.77,Shopping
2025-10-06,Boulangerie,23.65,Alimentation
2025-10-06,Courses Lidl,33.74,Alimentation
